🎵 D P R  L I V E [PLAYLIST] [노래 모음] 🎵,Yuki Huynh,"58,570회",5개월 전
DPR LIVE - Jasmine (prod. CODE KUNST) Official M/V,Dream Perfect Regime,"27,600,657회",2년 전
DPR LIVE 노래 모음 BEST 10 SONGS,HIPPOP SPACE,"681,800회",1년 전
DPR LIVE 본인등판 오셨다! 존버는 승리했다! | DPR LIVE (디피알 라이브)_Legacy(레거시)  | 본인등판 | Look Me Up,1theK Originals - 원더케이 오리지널,"773,141회",5개월 전
[FULL ALBUM] DPR LIVE - IS ANYBODY OUT THERE?,에드위니 Edwinie,"219,207회",5개월 전
[Special] I'm bad too (Feat. DPR LIVE) LIVE,MAMAMOO,"1,102,353회",3주 전
DPR LIVE의 사랑노래,sehooninseoul,"381,562회",5개월 전
DPR LIVE - Martini Blue (OFFICIAL M/V),Dream Perfect Regime,"11,508,684회",2년 전
DPR LIVE - Kiss Me + Neon (OFFICIAL M/V),Dream Perfect Regime,"1,267,908회",5개월 전
DPR LIVE - Text Me | A COLORS SHOW,COLORS,"5,704,493회",1년 전
DPR LIVE - Text Me (OFFICIAL M/V),Dream Perfect Regime,"10,148,480회",2년 전
"[BUDX DPR] 여름 밤, 한옥에서 펼쳐진 DPR의 색다른 무대",BUDWEISER KOREA,"124,620회",2개월 전
DPR LIVE - Legacy (OFFICIAL M/V),Dream Perfect Regime,"1,085,905회",5개월 전
DPR LIVE - Playlist (OFFICIAL M/V),Dream Perfect Regime,"4,393,807회",2년 전
[FULL ALBUM] DPR LIVE - IS ANYBODY OUT THERE?,칙촉Chic Choc,"226,933회",5개월 전
"[FULL ALBUM] DPR LIVE, DPR IAN, DPR CREAM - [DPR ARCHIVES]",MOO:D,"29,564회",2개월 전
DPR LIVE - Laputa (ft. CRUSH(크러쉬)) OFFICIAL M/V,Dream Perfect Regime,"5,972,197회",3년 전
"DPR LIVE - Please (ft. KIM HYO EUN, G2, DUMBFOUNDEAD) OFFICIAL M/V",Dream Perfect Regime,"3,612,777회",3년 전
뮤직비디오를 보고 놀란 아이들 (feat. DPR) | ODG,odg,"1,367,534회",5개월 전
